timestamp,network_element_id,technology,region,throughput_mbps,availability_pct,utilization_pct,latency_ms,rtwp_dbm,handover_success_rate_pct,call_drop_rate_pct,rach_success_rate_pct
2025-01-01 00:00:00,SITE_A,4G,South,38.48,99.459,36.94,21.05,-105.47,97.383,0.558,98.507
2025-01-01 00:00:00,SITE_B,4G,South,33.65,99.663,33.61,17.07,-104.52,96.543,0.228,97.975
2025-01-01 00:00:00,SITE_C,5G,North,84.94,99.594,32.28,15.18,-102.07,97.387,0.407,97.63
2025-01-01 00:00:00,SITE_D,4G,South,33.28,99.533,31.55,18.75,-106.2,97.354,0.34,98.941
2025-01-01 00:00:00,SITE_E,4G,West,35.93,99.183,37.47,15.56,-104.58,96.52,0.267,98.279
2025-01-01 00:00:00,SITE_F,4G,South,39.69,99.551,34.65,17.4,-107.96,97.14,0.354,98.623
2025-01-01 00:00:00,SITE_G,4G,West,37.72,98.971,35.97,17.23,-106.35,97.806,0.503,98.573
2025-01-01 00:00:00,SITE_H,4G,East,31.8,99.407,35.99,19.95,-105.96,97.407,0.289,97.722
2025-01-01 00:00:00,SITE_I,5G,North,94.06,99.907,34.78,20.01,-104.28,97.177,0.436,98.815
2025-01-01 00:00:00,SITE_J,4G,South,35.82,99.969,27.14,19.64,-104.83,97.35,0.409,97.405
2025-01-01 00:00:00,SITE_K,4G,West,34.9,99.607,39.43,16.96,-106.62,97.249,0.492,98.332
2025-01-01 00:00:00,SITE_L,4G,East,33.35,99.654,35.29,19.94,-106.4,97.336,0.361,97.615
2025-01-01 00:15:00,SITE_A,4G,South,37.48,99.578,35.02,17.53,-107.83,97.29,0.366,97.879
2025-01-01 00:15:00,SITE_B,4G,South,35.19,99.621,40.66,18.35,-104.48,97.463,0.208,98.189
2025-01-01 00:15:00,SITE_C,5G,North,90.3,100.0,34.42,18.6,-105.07,96.916,0.514,98.501
2025-01-01 00:15:00,SITE_D,4G,South,39.96,99.227,39.21,15.2,-103.83,98.595,0.301,97.973
2025-01-01 00:15:00,SITE_E,4G,West,36.5,99.349,30.35,18.14,-107.12,97.737,0.308,98.82
2025-01-01 00:15:00,SITE_F,4G,South,32.08,99.403,37.44,15.54,-104.55,98.154,0.239,98.274
2025-01-01 00:15:00,SITE_G,4G,West,37.3,99.735,31.29,15.36,-103.96,97.648,0.425,98.339
2025-01-01 00:15:00,SITE_H,4G,East,32.6,99.57,35.88,16.57,-101.27,97.737,0.281,98.463
2025-01-01 00:15:00,SITE_I,5G,North,85.13,99.736,38.48,16.36,-103.07,97.706,0.482,98.959
2025-01-01 00:15:00,SITE_J,4G,South,34.77,99.274,32.33,16.37,-105.15,97.671,0.428,98.531
2025-01-01 00:15:00,SITE_K,4G,West,36.07,99.936,34.21,23.44,-103.75,97.071,0.293,98.393
2025-01-01 00:15:00,SITE_L,4G,East,34.88,99.714,36.42,17.85,-106.69,96.743,0.355,98.543
2025-01-01 00:30:00,SITE_A,4G,South,37.07,99.126,35.52,18.77,-106.77,97.577,0.406,97.743
2025-01-01 00:30:00,SITE_B,4G,South,37.79,99.668,38.25,20.11,-107.76,97.031,0.452,98.406
2025-01-01 00:30:00,SITE_C,5G,North,92.58,100.0,36.71,20.27,-103.09,97.826,0.368,98.504
2025-01-01 00:30:00,SITE_D,4G,South,32.14,99.429,33.54,18.16,-100.37,96.566,0.469,97.555
2025-01-01 00:30:00,SITE_E,4G,West,33.64,99.827,35.19,15.84,-106.43,97.84,0.327,98.287
2025-01-01 00:30:00,SITE_F,4G,South,36.23,99.305,41.43,19.27,-109.05,97.593,0.334,98.541
2025-01-01 00:30:00,SITE_G,4G,West,32.04,99.466,36.51,19.73,-107.4,97.333,0.353,97.939
2025-01-01 00:30:00,SITE_H,4G,East,44.83,99.621,31.22,19.84,-100.76,98.016,0.248,98.006
2025-01-01 00:30:00,SITE_I,5G,North,96.33,99.288,36.33,19.55,-106.85,97.47,0.076,97.79
2025-01-01 00:30:00,SITE_J,4G,South,34.74,99.126,39.9,15.14,-105.88,97.565,0.544,97.626
2025-01-01 00:30:00,SITE_K,4G,West,41.82,99.503,32.06,18.92,-104.6,97.2,0.407,98.046
2025-01-01 00:30:00,SITE_L,4G,East,36.57,99.699,39.76,15.52,-100.73,96.524,0.385,98.435
2025-01-01 00:45:00,SITE_A,4G,South,37.4,99.313,34.38,17.01,-106.18,97.925,0.436,97.923
2025-01-01 00:45:00,SITE_B,4G,South,40.5,99.592,37.44,19.26,-106.66,97.22,0.475,98.444
2025-01-01 00:45:00,SITE_C,5G,North,89.9,99.535,38.83,16.82,-103.91,97.399,0.378,98.64
2025-01-01 00:45:00,SITE_D,4G,South,40.13,99.744,38.92,18.04,-103.64,97.345,0.432,98.148
2025-01-01 00:45:00,SITE_E,4G,West,36.48,99.679,32.55,22.18,-107.01,96.893,0.516,98.517
2025-01-01 00:45:00,SITE_F,4G,South,39.12,99.689,34.96,16.21,-104.85,97.161,0.498,98.141
2025-01-01 00:45:00,SITE_G,4G,West,31.87,99.404,36.24,16.87,-106.64,97.622,0.424,97.997
2025-01-01 00:45:00,SITE_H,4G,East,33.64,99.57,30.66,15.19,-106.44,97.393,0.431,98.79
2025-01-01 00:45:00,SITE_I,5G,North,94.29,99.452,34.94,15.99,-105.04,97.356,0.432,97.869
2025-01-01 00:45:00,SITE_J,4G,South,38.6,99.96,34.67,18.8,-103.62,97.299,0.422,98.205
2025-01-01 00:45:00,SITE_K,4G,West,36.49,99.268,35.07,19.0,-102.1,97.98,0.615,97.893
2025-01-01 00:45:00,SITE_L,4G,East,40.36,99.555,41.57,16.38,-106.68,97.2,0.188,97.99
2025-01-01 01:00:00,SITE_A,4G,South,32.2,99.545,36.03,21.75,-103.1,97.212,0.31,98.397
2025-01-01 01:00:00,SITE_B,4G,South,29.4,100.0,38.54,17.06,-108.43,98.177,0.389,98.695
2025-01-01 01:00:00,SITE_C,5G,North,82.03,99.32,35.02,18.09,-105.9,97.811,0.293,98.143
2025-01-01 01:00:00,SITE_D,4G,South,36.6,99.654,37.13,15.75,-108.07,98.139,0.433,97.901
2025-01-01 01:00:00,SITE_E,4G,West,43.76,99.535,38.54,18.14,-100.88,98.378,0.375,98.589
2025-01-01 01:00:00,SITE_F,4G,South,39.23,99.911,32.11,19.37,-102.88,96.621,0.282,97.384
2025-01-01 01:00:00,SITE_G,4G,West,34.65,99.715,39.51,18.15,-101.74,96.81,0.23,98.178
2025-01-01 01:00:00,SITE_H,4G,East,37.92,99.49,28.8,17.82,-107.61,97.835,0.437,97.824
2025-01-01 01:00:00,SITE_I,5G,North,87.43,99.182,34.81,19.91,-106.97,97.752,0.347,97.883
2025-01-01 01:00:00,SITE_J,4G,South,35.46,99.189,33.34,15.6,-101.07,97.518,0.33,98.286
2025-01-01 01:00:00,SITE_K,4G,West,35.44,99.434,36.84,19.52,-106.06,97.212,0.372,97.279
2025-01-01 01:00:00,SITE_L,4G,East,28.42,99.91,39.93,17.5,-103.85,97.656,0.708,98.648
2025-01-01 01:15:00,SITE_A,4G,South,35.36,99.213,30.18,18.41,-106.51,96.789,0.335,97.767
2025-01-01 01:15:00,SITE_B,4G,South,44.44,99.764,34.98,20.96,-104.85,97.069,0.552,98.416
2025-01-01 01:15:00,SITE_C,5G,North,84.81,99.443,32.37,15.23,-103.15,98.455,0.26,98.425
2025-01-01 01:15:00,SITE_D,4G,South,32.75,99.354,33.22,16.27,-104.9,97.085,0.427,98.18
2025-01-01 01:15:00,SITE_E,4G,West,34.81,99.228,33.27,19.51,-104.0,97.011,0.41,98.501
